Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sSoftness	Softness	柔らかさ	부드러움	柔软	柔軟
sDistanceFade	Distance Fade	距離フェード	거리 페이드	距离淡化	距離淡化
sDistanceFadeTips	You can set the color change depending on the distance.	距離に応じて色の変更ができます	거리에 따라 색상을 변경할 수 있습니다	你可以根据距离来设置颜色的变化。	你可以根據距離來設置顏色的變化。
sStartDistance	Start Distance	開始距離	시작 거리	开始距离	開始距離
sEndDistance	End Distance	終了距離	종료 거리	结束距离	結束距離
sStencilSetting	Stencil	ステンシル設定	Stencil 설정	Stencil设置	Stencil設置
sStencilTips	You can set the Stencil	ステンシル(眉毛を髪の上に表示するなど)の設定ができます	Stencil (눈썹을 머리 위에 표시하는 등)을 설정할 수 있습니다	你可以配置详细的Stencil设置。	你可以配置詳細的Stencil設置。
sAdvanced	Advanced	拡張設定	확장 설정	扩展设置	擴展設置
sRenderingSetting	Rendering	レンダリング設定	렌더링 설정	渲染设置	渲染設置
sRenderingTips	You can configure detailed rendering settings.	細かいレンダリングの設定ができます。	세세한 렌더링 설정을 할 수 있습니다.	你可以配置详细的渲染设置。	你可以配置詳細的渲染設置。
sZWrite	ZWrite	ZWrite	ZWrite	ZWrite	ZWrite
sZTest	ZTest	ZTest	ZTest	ZTest	ZTest
sOffsetFactor	Offset Factor	Offset Factor	Offset Factor	Offset Factor	Offset Factor
sOffsetUnits	Offset Units	Offset Units	Offset Units	Offset Units	Offset Units
sColorMask	Color Mask	Color Mask	Color Mask	Color Mask	Color Mask
sForward	Forward	Forward	Forward	Forward	Forward
sForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd
sSrcBlendRGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB
sDstBlendRGB	DstBlend RGB	DstBlend RGB	DstBlend RGB	DstBlend RGB	DstBlend RGB
sSrcBlendAlpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha
sDstBlendAlpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha
sBlendOpRGB	BlendOp RGB	BlendOp RGB	BlendOp RGB	BlendOp RGB	BlendOp RGB
sBlendOpAlpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha
sRenderingReset	Reset Rendering Properties	レンダリング設定を初期化	렌더링 설정을 초기화	重置渲染设置	重置渲染設置
sOptimization	Optimization	最適化	최적화	优化	優化
sOptimizationTips	You can optimize the material to reduce the load.	マテリアルを最適化して負荷を低減できます	머티리얼을최적화하여부하를저감할수있습니다	你可以对材料进行优化，以减少负荷。	你可以對材料進行優化，以減少負荷。
sRemoveUnused	Remove unused textures	未使用のテクスチャを外す	미사용 텍스처 해제	移除未使用的纹理	移除未使用的紋理
sYes	Yes	はい	Yes	Yes	Yes
sNo	No	いいえ	No	No	No
sOK	OK	OK	OK	OK	OK
sCancel	Cancel	キャンセル	Cancel	Cancel	Cancel
sComplete	Complete!	完了しました。	Complete!	Complete!	Complete!
sShaderSetting	Shader Setting (for all materials)	シェーダー設定 (全マテリアル共通)	쉐이더 설정 (전체 재료 공통)	着色器设置（用于所有材质）	著色器設置（用於所有材質）
sShaderSettingTips	You can toggle unused functions.	不要な機能を無効化できます	불필요한 기능을 비활성화 할 수 있습니다	你可以切换不使用的功能。	你可以切換不使用的功能。
sHelpShaderSetting	Features turned off here will be removed from the shader. By turning off unused features, you can reduce the size of your avatar while also reducing the load.	ここでオフにした機能はシェーダーから除去されます。不要な機能をオフにすることでアバターの容量を削減しつつ、負荷も抑えることができます。	여기에 끈 기능은 쉐이더에서 제거됩니다. 불필요한 기능을 해제하여 아바타의 용량을 줄이면서 부하도 줄일 수 있습니다.	在这里关闭的功能将从着色器中删除。通过关闭不使用的功能，你可以减少你的头像的大小，同时也可以减少负载。	在這里關閉的功能將從著色器中刪除。通過關閉不使用的功能，你可以減少你的頭像的大小，同時也可以減少負載。​​
sSettingShadow	Shadow	影	그림자	阴影	陰影
sSettingReceiveShadow	Receive Shadow	影の受け取り	그림자 받고	接收阴影	接收陰影
sSettingClippingCanceller	Distance Clipping Canceller	距離クリッピングキャンセラー	거리 클리핑 취소 기	距离剪裁取消器	距離剪裁取消器
sSettingDistanceFade	Distance Fade	距離フェード	거리 페이드	距离淡化	距離淡化
